


Eb|------------------------------------------------------------------------------------------------      
Bb|------------------------------------------------------------------------------------------------      
Gb|-------------------------8-----------7----------------------------------------------------------      
Db|-5----/7-----x-----x-----8-----------7-----------5----/7-----x-----x-----8-----------10---------      
Ab|-5----/7-----x-----x-----6-----------5-----------5----/7-----x-----x-----8-----------10---------      
Eb|-3----/5-----x-----x-----------------------------3----/5-----x-----x-----6-----------8----------      
    $           *           *           *           $           *           *           *



Eb|------------------------------------------------------------------------------------------------      
Bb|------------------------------------------------------------------------------------------------      
Gb|-------------------------8-----------7----------------------------------------------------------      
Db|-5----/7-----x-----x-----8-----------7-----------------8-----8-----8-----------10----10----10---      
Ab|-5----/7-----x-----x-----6-----------5-----------------8-----8-----8-----------10----10----10---      
Eb|-3----/5-----x-----x-----------------------------------6-----6-----6-----------8-----8-----8----      
    $           *           *           *           $           *           *           *



Eb|------------------------------------------------------------------------------------------------      
Bb|------------------------------------------------------------------------------------------------      
Gb|------------------------------------------------------------------------------------------------      
Db|-9-----------9-----9-----9-----9-----------5-----------------5-----5-----5-----5-----5----------      
Ab|-9-----------9-----9-----9-----9-----------5-----------------5-----5-----5-----5-----5----------      
Eb|-7-----------7-----7-----7-----7-----------3-----------------3-----3-----3-----3-----3----------      
    $           *           *           *           $           *           *           *



Eb|------------------------------------------------------------------------------------------------      
Bb|------------------------------------------------------------------------------------------------      
Gb|-7-----------7-----7-----7-----7----------------------------------------------------------------      
Db|-7-----------7-----7-----7-----7-----------7-----------------7-----7-----7-----7-----7----------      
Ab|-5-----------5-----5-----5-----5-----------7-----------------7-----7-----7-----7-----7----------      
Eb|-------------------------------------------5-----------------5-----5-----5-----5-----5----------      
    $           *           *           *           $           *           *           *



Eb|------------------------------------------------------------------------------------------------      
Bb|------------------------------------------------------------------------------------------------      
Gb|-7-----------7-----7-----7-----7----------------------------------------------------------------      
Db|-7-----------7-----7-----7-----7-----------7----------------------------------------------------      
Ab|-5-----------5-----5-----5-----5-----------7-----------------7-----7-----7-----7-----7----------      
Eb|-------------------------------------------5-----------------5-----5-----5-----5-----5----------      
    $           *           *           *           $           p           p           p



Eb|------------------------------------------------------------------------------------------------      
Bb|------------------------------------------------------------------------------------------------      
Gb|------------------------------------------------------------------------------------------------      
Db|-7-----------7-----7-----7-----7-----7-----------7-----7-----7-----7-----7-----7-----7----------      
Ab|-7-----------7-----7-----7-----7-----7-----------7-----7-----7-----7-----7-----7-----7----------      
Eb|-5-----------5-----5-----5-----5-----5-----------5-----5-----5-----5-----5-----5-----5----------      
    $           *           *           *           $           *           *           *



Eb|------------------------------------------------------------------------------------------------      
Bb|------------------------------------------------------------------------------------------------      
Gb|------------------------------------------------------------------------------------------------      
Db|------------------------------------------------------------------------------------------------      
Ab|-7-----7-----7-----7-----7-----7-----7-----7-----7-----7-----7-----7-----7----------------------      
Eb|-5-----5-----5-----5-----5-----5-----5-----5-----5-----5-----5-----5-----5----------/17---------      
    P           p           p           p           P           p           p           *



Eb|------------------------------------------------------------------------------------------------      
Bb|------------------------------------------------------------------------------------------------      
Gb|------------------------------------------------------------------------------------------------      
Db|-9-----------9-----9-----9-----9-----9-----------5-----------5-----------7-----------7----------      
Ab|-9-----------9-----9-----9-----9-----9-----------5-----------5-----------7-----------7----------      
Eb|-7-----------7-----7-----7-----7-----7-----------3-----------3-----------5-----------5----------      
    $           *           *           *           $           *           *           *



Eb|------------------------------------------------------------------------------------------------      
Bb|------------------------------------------------------------------------------------------------      
Gb|-------------------------------------------------------------------------7-----------7----------      
Db|-9-----------9-----9-----9-----9-----9-----------5-----------5-----------7-----------7----------      
Ab|-9-----------9-----9-----9-----9-----9-----------5-----------5-----------5-----------5----------      
Eb|-7-----------7-----7-----7-----7-----7-----------3-----------3----------------------------------      
    $           *           *           *           $           *           *           *



Eb|------------------------------------------------------------------------------------------------      
Bb|------------------------------------------------------------------------------------------------      
Gb|-------------------------------------------------7-----------7-----7-----7-----7-----7----------      
Db|-9-----------9-----9-----9-----9-----9-----------7-----------7-----7-----7-----7-----7----------      
Ab|-9-----------9-----9-----9-----9-----9-----------5-----------5-----5-----5-----5-----5----------      
Eb|-7-----------7-----7-----7-----7-----7----------------------------------------------------------      
    $           *           *           *           $           *           *           *



Eb|------------------------------------------------------------------------------------------------      
Bb|------------------------------------------------------------------------------------------------      
Gb|------------------------------------------------------------------------------------------------      
Db|-5-----------5-----5-----5-----5-----5-----------7-----7-----7-----7-----7-----7-----7----------      
Ab|-5-----------5-----5-----5-----5-----5-----------7-----7-----7-----7-----7-----7-----7----------      
Eb|-3-----------3-----3-----3-----3-----3-----------5-----5-----5-----5-----5-----5-----5----------      
    $           *           *           *           $           *           *           *



Eb|------------------------------------------------------------------------------------------------      
Bb|------------------------------------------------------------------------------------------------      
Gb|------------------------------------------------------------------------------------------------      
Db|-5-----------5-----5-----5-----5-----5-----------7-----------7-----7-----7-----7-----7----------      
Ab|-5-----------5-----5-----5-----5-----5-----------7-----------7-----7-----7-----7-----7----------      
